Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AAPL,138.5,138.55,134.5933,134.87,74903262.0
2022-11-10,AAPL,141.24,146.87,139.5,146.87,118854028.0
2022-11-11,AAPL,145.82,150.01,144.37,149.7,93966273.0
2022-11-14,AAPL,148.97,150.28,147.43,148.28,73374114.0
2022-11-15,AAPL,152.215,153.59,148.5613,150.04,89868332.0
2022-11-16,AAPL,149.13,149.87,147.29,148.79,64218266.0
2022-11-17,AAPL,146.43,151.48,146.15,150.72,80389400.0
2022-11-18,AAPL,152.305,152.7,149.97,151.29,74829573.0
2022-11-21,AAPL,150.16,150.37,147.715,148.01,58724070.0
2022-11-22,AAPL,148.13,150.42,146.925,150.18,51804132.0
2022-11-23,AAPL,149.45,151.83,149.34,151.07,58283895.0
2022-11-25,AAPL,148.305,148.88,147.12,148.11,35195860.0
2022-11-28,AAPL,145.14,146.64,143.38,144.22,69346522.0
2022-11-29,AAPL,144.29,144.81,140.355,141.17,83736803.0
2022-11-30,AAPL,141.395,148.72,140.55,148.03,111314880.0
2022-12-01,AAPL,148.21,149.13,146.61,148.31,71250416.0
2022-12-02,AAPL,145.96,148.0,145.65,147.81,65438446.0
2022-12-05,AAPL,147.77,150.9199,145.77,146.63,68826442.0
2022-12-06,AAPL,147.075,147.3,141.92,142.91,64727186.0
2022-12-07,AAPL,142.19,143.37,140.0,140.94,69721094.0
2022-12-08,AAPL,142.36,143.52,141.1,142.65,62128338.0
2022-12-09,AAPL,142.34,145.57,140.9,142.16,76084511.0
2022-12-12,AAPL,142.7,144.5,141.06,144.49,70462654.0
2022-12-13,AAPL,149.5,149.9692,144.24,145.47,93486161.0
2022-12-14,AAPL,145.35,146.655,141.16,143.21,82211182.0
2022-12-15,AAPL,141.11,141.8,136.025,136.5,98463907.0
2022-12-16,AAPL,136.685,137.65,133.73,134.51,160063600.0
2022-12-19,AAPL,135.11,135.2,131.32,132.37,79592614.0
2022-12-20,AAPL,131.39,133.25,129.89,132.3,77430718.0
2022-12-21,AAPL,132.98,136.81,132.75,135.45,85927993.0
